game_date,home_team,away_team,winner,predicted_winner,confidence_0,confidence_1
2019-12-12,Buffalo Sabres,Nashville Predators,1,0,0.5057963780069732,0.49420362199302686
2019-12-12,Tampa Bay Lightning,Boston Bruins,1,1,0.4775044851293053,0.5224955148706947
2019-12-12,Florida Panthers,New York Islanders,0,1,0.43945857089459,0.5605414291054099
2019-12-12,Pittsburgh Penguins,Columbus Blue Jackets,1,1,0.3662598460020692,0.6337401539979309
2019-12-12,Detroit Red Wings,Winnipeg Jets,1,0,0.5110087615354353,0.4889912384645646
2019-12-12,St Louis Blues,Vegas Golden Knights,1,1,0.48390459529229046,0.5160954047077096
2019-12-12,Minnesota Wild,Edmonton Oilers,1,1,0.45176086803502374,0.548239131964976
2019-12-12,Calgary Flames,Toronto Maple Leafs,1,1,0.4779020541112142,0.5220979458887859
2019-12-12,Arizona Coyotes,Chicago Blackhawks,1,1,0.4183923220404874,0.5816076779595128
2019-12-12,Vancouver Canucks,Carolina Hurricanes,1,0,0.5335216459193297,0.4664783540806703
2019-12-12,Anaheim Ducks,Los Angeles Kings,0,1,0.4761072013010794,0.5238927986989206
2019-12-12,San Jose Sharks,New York Rangers,0,1,0.4120030421777615,0.5879969578222382
2019-12-13,Dallas Stars,Vegas Golden Knights,0,1,0.4458752046681054,0.5541247953318945
2019-12-13,Colorado Avalanche,New Jersey Devils,1,1,0.36163465921540605,0.638365340784594
2019-12-14,Ottawa Senators,Columbus Blue Jackets,1,1,0.48514962264470163,0.5148503773552985
2019-12-14,New York Islanders,Buffalo Sabres,1,1,0.4421528684200777,0.5578471315799224
2019-12-14,Calgary Flames,Carolina Hurricanes,0,0,0.5407015568210629,0.45929844317893703
2019-12-14,Anaheim Ducks,New York Rangers,1,1,0.44648587881580315,0.553514121184197
2019-12-14,Nashville Predators,Dallas Stars,0,1,0.448327252467664,0.5516727475323356
2019-12-14,Montreal Canadiens,Detroit Red Wings,0,1,0.2789355875875597,0.7210644124124405
2019-12-14,Tampa Bay Lightning,Washington Capitals,0,0,0.5003299929015464,0.4996700070984535
2019-12-14,Florida Panthers,Boston Bruins,0,1,0.47588555466224736,0.5241144453377524
2019-12-14,Pittsburgh Penguins,Los Angeles Kings,1,1,0.3593558133565082,0.6406441866434918
2019-12-14,Minnesota Wild,Philadelphia Flyers,1,1,0.48295365107333926,0.5170463489266606
2019-12-14,Edmonton Oilers,Toronto Maple Leafs,0,1,0.47747282966253013,0.5225271703374701
2019-12-14,St Louis Blues,Chicago Blackhawks,1,1,0.34836089888346594,0.6516391011165342
2019-12-14,Arizona Coyotes,New Jersey Devils,0,1,0.42162259675628033,0.5783774032437194
2019-12-14,San Jose Sharks,Vancouver Canucks,1,0,0.5246626234200613,0.4753373765799387
2019-12-15,Winnipeg Jets,Philadelphia Flyers,1,1,0.4910306097812857,0.5089693902187143
2019-12-15,Detroit Red Wings,Los Angeles Kings,0,0,0.5436030951767588,0.456396904823241
2019-12-15,Chicago Blackhawks,Minnesota Wild,1,0,0.5598933690028373,0.4401066309971624
2019-12-15,Vegas Golden Knights,Vancouver Canucks,1,1,0.4379596244432025,0.5620403755567978
2019-12-16,Florida Panthers,Ottawa Senators,1,1,0.401524410872071,0.5984755891279285
2019-12-16,New York Rangers,Nashville Predators,0,0,0.5143694692339709,0.4856305307660291
2019-12-16,Columbus Blue Jackets,Washington Capitals,1,0,0.5306417458090742,0.46935825419092564
2019-12-16,St Louis Blues,Colorado Avalanche,1,0,0.5164953908887661,0.483504609111234
2019-12-16,Dallas Stars,Edmonton Oilers,0,1,0.3920817386848635,0.6079182613151363
2019-12-17,Boston Bruins,Los Angeles Kings,0,1,0.42896107598997185,0.5710389240100281
2019-12-17,Toronto Maple Leafs,Buffalo Sabres,1,1,0.4295263133723524,0.5704736866276479
2019-12-17,Tampa Bay Lightning,Ottawa Senators,1,1,0.3818654595064009,0.6181345404935993
2019-12-17,New York Islanders,Nashville Predators,0,1,0.4678902601786042,0.532109739821396
2019-12-17,Philadelphia Flyers,Anaheim Ducks,1,1,0.4083009641999986,0.591699035800001
2019-12-17,Detroit Red Wings,Columbus Blue Jackets,0,0,0.5511640194642609,0.44883598053573903
2019-12-17,Winnipeg Jets,Carolina Hurricanes,0,0,0.530515372627648,0.46948462737235186
2019-12-17,Calgary Flames,Pittsburgh Penguins,0,0,0.5511587145225667,0.4488412854774331
